symbol,timestamp,datetime,high,low,bid,bidVolume,ask,askVolume,vwap,open,close,last,previousClose,change,percentage,average,baseVolume,quoteVolume,info.symbol,info.lastPrice,info.indexPrice,info.markPrice,info.prevPrice24h,info.price24hPcnt,info.highPrice24h,info.lowPrice24h,info.prevPrice1h,info.openInterest,info.openInterestValue,info.turnover24h,info.volume24h,info.fundingRate,info.nextFundingTime,info.predictedDeliveryPrice,info.basisRate,info.deliveryFeeRate,info.deliveryTime,info.ask1Size,info.bid1Price,info.ask1Price,info.bid1Size,info.basis
BTC/USD:BTC,,,67367.0,66559.5,67186.5,12085.0,67187.0,116699.0,1.4922693438044e-05,67136.0,67186.5,67186.5,,50.5,0.0752,67161.25,253846433.0,3788.0725,BTCUSD,67186.50,67205.18,67186.50,67136.00,0.000752,67367.00,66559.50,67083.50,973159577,14484.45,3788.0725,253846433.0000,0.0000268,1716105600000,,,,0,116699,67186.50,67187.00,12085,
BTC/USDT:USDT,,,67346.5,66469.0,67167.9,3.375,67168.0,6.155,66947.88034183731,67114.9,67167.9,67167.9,,53.0,0.0789,67141.4,41057.718,2748727191.7729,BTCUSDT,67167.90,67194.40,67172.37,67114.90,0.000789,67346.50,66469.00,67079.80,56444.78,3791529646.73,2748727191.7729,41057.7180,0.00008308,1716105600000,,,,0,6.155,67167.90,67168.00,3.375,
ETH/USD:ETH,,,3148.0,3095.1,3112.9,13572.0,3112.95,6781.0,0.000320529500308943,3108.25,3113.1,3113.1,,4.85,0.156,3110.675,51421953.0,16482.2529,ETHUSD,3113.10,3113.45,3113.10,3108.25,0.00156,3148.00,3095.10,3115.00,323412018,103887.45,16482.2529,51421953.0000,0.0001,1716105600000,,,,0,6781,3112.90,3112.95,13572,
ETH/USDT:USDT,,,3146.99,3094.5,3112.32,49.18,3112.33,10.38,3119.542217958835,3107.75,3112.32,3112.32,,4.57,0.147,3110.035,302868.2,944810136.3772,ETHUSDT,3112.32,3113.07,3112.53,3107.75,0.00147,3146.99,3094.50,3114.46,617051.61,1920591647.67,944810136.3772,302868.2000,0.0001,1716105600000,,,,0,10.38,3112.32,3112.33,49.18,
DOGE/USDT:USDT,,,0.15649,0.15086,0.15372,60325.0,0.15373,6069.0,0.15387387624306526,0.15524,0.15373,0.15373,,-0.00151,-0.9726,0.154485,1007014809.0,154953272.095,DOGEUSDT,0.15373,0.15377,0.15373,0.15524,-0.009726,0.15649,0.15086,0.15475,1476042322,226911986.16,154953272.0950,1007014809.0000,0.0001,1716105600000,,,,0,6069,0.15372,0.15373,60325,
SOL/USD:SOL,,,175.99,170.49,173.2,1018.0,173.21,1018.0,0.005777686516384089,173.12,173.21,173.21,,0.09,0.0519,173.165,6633814.0,38328.0977,SOLUSD,173.21,173.25,173.21,173.12,0.000519,175.99,170.49,174.03,6655058,38421.90,38328.0977,6633814.0000,0.0001,1716105600000,,,,0,1018,173.20,173.21,1018,
SOL/USDT:USDT,,,175.89,170.34,173.22,29.6,173.23,313.0,173.23212495465174,172.99,173.22,173.22,,0.23,0.1329,173.105,4141007.9,717355597.971,SOLUSDT,173.220,173.235,173.216,172.990,0.001329,175.890,170.340,174.030,3787945.7,656132802.37,717355597.9710,4141007.9000,0.0001,1716105600000,,,,0,313.0,173.220,173.230,29.6,
BTC/USD:BTC-240628,,,68206.5,67387.0,67984.0,14.0,67993.0,1100.0,1.4757711726719e-05,68030.0,67959.0,67959.0,,-71.0,-0.1043,67994.5,800761.0,11.8174,BTCUSDM24,67959.00,67205.17,67987.58,68030.00,-0.001043,68206.50,67387.00,67914.00,11784071,173.33,11.8174,800761.0000,,0,0.00,0.01133797,0.0005,1719561600000,1100,67984.00,67993.00,14,753.8206
BTC/USD:BTC-240927,,,70342.0,69387.0,70088.5,175.0,70096.5,3760.0,1.4311926768385e-05,70100.0,70091.0,70091.0,,-9.0,-0.0128,70095.5,1126508.0,16.1225,BTCUSDU24,70091.00,67205.17,70079.08,70100.00,-0.000128,70342.00,69387.00,69991.50,20792788,296.70,16.1225,1126508.0000,,0,0.00,0.04262797,0.0005,1727424000000,3760,70088.50,70096.50,175,2885.8206
LTC/USD:LTC,,,84.78,83.34,83.91,481.0,83.93,520.0,0.011887723883259597,84.16,83.89,83.89,,-0.27,-0.3208,84.025,448448.0,5331.026,LTCUSD,83.89,83.95,83.92,84.16,-0.003208,84.78,83.34,84.02,7741719,92251.18,5331.0260,448448.0000,0.0001,1716105600000,,,,0,520,83.91,83.93,481,
LTC/USDT:USDT,,,84.88,83.38,83.91,21.3,83.92,155.5,84.06155019414352,84.16,83.91,83.91,,-0.25,-0.297,84.035,159443.9,13403101.403,LTCUSDT,83.91,83.94,83.92,84.16,-0.00297,84.88,83.38,83.97,791082.2,66387618.22,13403101.4030,159443.9000,0.0001,1716105600000,,,,0,155.5,83.91,83.92,21.3,
ADA/USD:ADA,,,0.4861,0.4758,0.4796,183.0,0.4797,1502.0,2.079859853864292,0.4823,0.4795,0.4795,,-0.0028,-0.5805,0.4809,1486016.0,3090705.0206,ADAUSD,0.4795,0.4794,0.4795,0.4823,-0.005805,0.4861,0.4758,0.4795,11088946,23126060.48,3090705.0206,1486016.0000,0.0001,1716105600000,,,,0,1502,0.4796,0.4797,183,
ADA/USDT:USDT,,,0.486,0.4752,0.4792,22356.0,0.4793,9282.0,0.48068618676122127,0.4818,0.4793,0.4793,,-0.0025,-0.5188,0.48055,60034465.0,28857738.0551,ADAUSDT,0.4793,0.4794,0.4793,0.4818,-0.005188,0.4860,0.4752,0.4792,123533916,59209805.94,28857738.0551,60034465.0000,0.0001,1716105600000,,,,0,9282,0.4792,0.4793,22356,
DOT/USD:DOT,,,7.245,7.06,7.09,3560.0,7.095,3000.0,0.13966093151419628,7.195,7.095,7.095,,-0.1,-1.3898,7.145,730896.0,102077.6162,DOTUSD,7.095,7.099,7.095,7.195,-0.013898,7.245,7.060,7.100,41901907,5905836.08,102077.6162,730896.0000,0.0001,1716105600000,,,,0,3000,7.090,7.095,3560,
DOT/USDT:USDT,,,7.228,7.06,7.097,99.5,7.098,237.2,7.140284150912629,7.207,7.096,7.096,,-0.111,-1.5401,7.1515,1848356.9,13197793.4783,DOTUSDT,7.096,7.098,7.097,7.207,-0.015401,7.228,7.060,7.105,7025479.9,49859830.85,13197793.4783,1848356.9000,0.0001,1716105600000,,,,0,237.2,7.097,7.098,99.5,
XRP/USD:XRP,,,0.5258,0.5188,0.5208,629.0,0.5209,13913.0,1.9151471378243465,0.524,0.5208,0.5208,,-0.0032,-0.6106,0.5224,8908992.0,17062030.5297,XRPUSD,0.5208,0.5205,0.5208,0.5240,-0.006106,0.5258,0.5188,0.5218,57810485,111003235.41,17062030.5297,8908992.0000,0.0001,1716105600000,,,,0,13913,0.5208,0.5209,629,
XRP/USDT:USDT,,,0.5257,0.5184,0.5204,64332.0,0.5205,69503.0,0.5219634094705675,0.5237,0.5205,0.5205,,-0.0032,-0.611,0.5221,101334519.0,52892911.0343,XRPUSDT,0.5205,0.5204,0.5204,0.5237,-0.00611,0.5257,0.5184,0.5215,271865098,141478597.00,52892911.0343,101334519.0000,0.0001,1716105600000,,,,0,69503,0.5204,0.5205,64332,
AVAX/USDT:USDT,,,37.74,36.635,36.855,10.9,36.86,179.8,37.16244586341425,37.4,36.855,36.855,,-0.545,-1.4572,37.1275,1710497.6,63566274.4595,AVAXUSDT,36.855,36.867,36.855,37.400,-0.014572,37.740,36.635,37.020,1929043.3,71094890.82,63566274.4595,1710497.6000,0.0001,1716105600000,,,,0,179.8,36.855,36.860,10.9,
MATIC/USDT:USDT,,,0.722,0.7021,0.7045,14328.0,0.7046,520.0,0.71198757768307,0.7177,0.7046,0.7046,,-0.0131,-1.8252,0.71115,29422434.0,20948407.5132,MATICUSDT,0.7046,0.7048,0.7046,0.7177,-0.018252,0.7220,0.7021,0.7065,70564474,49719728.38,20948407.5132,29422434.0000,0.0001,1716105600000,,,,0,520,0.7045,0.7046,14328,
BCH/USDT:USDT,,,496.9,472.55,490.15,1.15,490.2,1.8,485.0065711417625,484.9,490.25,490.25,,5.35,1.1033,487.575,101182.34,49074099.7835,BCHUSDT,490.25,490.54,490.25,484.90,0.011033,496.90,472.55,491.50,86569.06,42440481.67,49074099.7835,101182.3400,0.00002092,1716105600000,,,,0,1.80,490.15,490.20,1.15,
SUI/USDT:USDT,,,1.0891,1.0506,1.0728,1160.0,1.0729,20.0,1.0730887376486506,1.0825,1.0729,1.0729,,-0.0096,-0.8868,1.0777,33665350.0,36125907.934,SUIUSDT,1.07290,1.07342,1.07285,1.08250,-0.008868,1.08910,1.05060,1.07500,39375610,42244123.19,36125907.9340,33665350.0000,0.0001,1716105600000,,,,0,20,1.07280,1.07290,1160,
BNB/USDT:USDT,,,581.7,573.7,579.0,4.42,579.05,5.5,578.1010409572825,580.1,579.05,579.05,,-1.05,-0.181,579.575,37723.45,21807965.7135,BNBUSDT,579.05,579.26,579.08,580.10,-0.00181,581.70,573.70,578.95,133651.23,77394754.27,21807965.7135,37723.4500,0.0001,1716105600000,,,,0,5.50,579.00,579.05,4.42,
